recency,frequency,total_value,bank_approved,bank_err,bank_invalid_card,bank_insufficient_fund,bank_do_not_honor,bank_lost_card,amount_high,is_fraud,channel_master,channel_visa,channel_amex
124,34,213542.0,18,0,4,1,11,0,4,30,34,0,0
256,6,611.0,0,0,0,1,5,0,0,6,6,0,0
261,3,30.0,1,0,0,0,2,0,0,3,3,0,0
235,6,561.0,3,0,0,0,3,0,0,6,6,0,0
258,12,1316.0,1,0,0,0,11,0,0,12,12,0,0
255,9,180.0,7,0,0,0,2,0,0,9,9,0,0
126,11,221198.0,0,0,3,1,7,0,4,8,11,0,0
235,4,20080.0,3,0,0,0,1,0,1,4,4,0,0
190,4,130735.0,2,0,0,0,2,0,2,4,4,0,0
240,2,20.0,0,0,0,0,2,0,0,2,2,0,0
187,1,54000.0,1,0,0,0,0,0,1,1,1,0,0
228,1,15000.0,0,0,0,0,0,1,1,1,1,0,0
228,3,16900.0,0,0,0,0,3,0,1,3,3,0,0
228,4,30000.0,1,0,0,0,3,0,1,4,4,0,0
228,1,15000.0,0,0,0,1,0,0,1,1,1,0,0
228,1,5000.0,0,0,0,0,1,0,0,1,1,0,0
228,1,200.0,0,0,0,0,0,1,0,1,1,0,0
209,5,423865.0,2,0,0,0,3,0,4,5,5,0,0
209,3,159555.0,2,0,0,0,1,0,3,3,3,0,0
208,5,268220.0,3,0,0,0,1,1,5,5,5,0,0
206,1,100000.0,0,0,0,0,0,1,1,1,1,0,0
206,2,146800.0,0,0,0,0,0,2,1,2,2,0,0
206,2,198000.0,0,0,0,0,2,0,2,2,2,0,0
205,3,536000.0,1,0,0,1,1,0,3,3,3,0,0
202,2,85500.0,0,0,0,0,1,1,2,2,2,0,0
202,1,20000.0,0,0,0,0,0,1,1,1,1,0,0
202,1,550.0,0,0,0,0,0,1,0,1,1,0,0
202,1,55000.0,0,0,0,0,1,0,1,1,1,0,0
202,4,350000.0,2,0,0,0,0,2,4,4,4,0,0
202,1,50000.0,0,0,0,1,0,0,1,1,1,0,0
202,1,30000.0,1,0,0,0,0,0,1,1,1,0,0
202,2,170000.0,1,0,0,0,1,0,2,2,2,0,0
202,1,50000.0,0,0,0,0,1,0,1,1,1,0,0
197,3,135010.0,2,0,0,0,1,0,2,3,3,0,0
190,4,49905.0,1,0,0,0,3,0,1,4,4,0,0
197,1,90000.0,1,0,0,0,0,0,1,1,1,0,0
190,1,63000.0,1,0,0,0,0,0,1,1,1,0,0
197,1,108000.0,1,0,0,0,0,0,1,1,1,0,0
197,1,81000.0,1,0,0,0,0,0,1,1,1,0,0
194,3,198000.0,3,0,0,0,0,0,3,3,3,0,0
194,1,36000.0,1,0,0,0,0,0,1,1,1,0,0
191,2,99000.0,2,0,0,0,0,0,2,2,2,0,0
